time,open,high,low,close,"SP500, S&P DOW JONES INDICES LLC: Open","SP500, S&P DOW JONES INDICES LLC: High","SP500, S&P DOW JONES INDICES LLC: Low","SP500, S&P DOW JONES INDICES LLC: Close",Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,EMA,EMA,EMA2,EMA3,Histogram,MACD,Signal,K,D,MF
1628515800,145.91,146.48,145.4,145.58,4432.35,4432.35,4432.35,4432.35,5270591,5990369.25,5270591,5990369.25,5270591,5990369.25,5270591,5990369.25,5270591,5990369.25,5270591,5990369.25,144.10124861146764,143.41348269764885,142.63016757160068,141.11041429701177,0.304879620471449,1.2644587558723401,0.9595791354008911,94.33483087198015,81.15383585127508,61.503052474980755
1628602200,146.97,148.95,146.25,148.68,4436.75,4436.75,4436.75,4436.75,12754045,6312278.1,12754045,6312278.1,12754045,6312278.1,12754045,6312278.1,12754045,6312278.1,12754045,6312278.1,145.11874892003038,144.16584231227043,143.1801523378188,141.38075664354707,0.497313125078616,1.5812205417491612,1.0839074166705451,94.33483087198016,87.02513526951823,71.69096723130244
1628688600,149.51,151.58,149.16,150.01,4447.7,4447.7,4447.7,4447.7,13818560,6689672.55,13818560,6689672.55,13818560,6689672.55,13818560,6689672.55,13818560,6689672.55,13818560,6689672.55,146.20569360446808,145.00072198194607,143.80104757983528,141.68894390627753,0.6668524577817352,1.917472988897714,1.2506205311159788,98.65001942463641,95.77322705619889,79.09010774526499
1628775000,149,150.21,148.81,149.06,4460.83,4460.83,4460.83,4460.83,6092424,6694713.15,6092424,6694713.15,6092424,6694713.15,6092424,6694713.15,6092424,6694713.15,6092424,6694713.15,146.8399839145863,145.58061884166807,144.27913416348662,141.95219590962475,0.6661304699524795,2.083283618556578,1.4171531486040987,90.73665184928971,94.57383404863542,72.84001587973992
1628861400,149.38,150.36,149.16,149.53,4468,4468,4468,4468,5327070,6659476.4,5327070,6659476.4,5327070,6659476.4,5327070,6659476.4,5327070,6659476.4,5327070,6659476.4,147.43776526690044,146.1448161500012,144.75648560316966,142.22283176999528,0.6478326692541843,2.226943985171829,1.5791113159176446,83.15174774939344,90.84613967443983,72.67826800052828
1629120600,149.68,151.73,149.04,150.75,4479.71,4479.71,4479.71,4479.71,15975648,7001872.8,15975648,7001872.8,15975648,7001872.8,15975648,7001872.8,15975648,7001872.8,15975648,7001872.8,148.17381742981146,146.80269955714388,145.30135054833605,142.52737349249546,0.665864596664925,2.411442061748801,1.7455774650838758,79.65806945629775,84.51548968499361,80.2820537218551
1629207000,150.4,152.5,149.1,150.7,4448.08,4448.08,4448.08,4448.08,16983362,7534035.9,16983362,7534035.9,16983362,7534035.9,16983362,7534035.9,16983362,7534035.9,16983362,7534035.9,148.7351913342978,147.3594567632662,145.79213686212367,142.81925301062063,0.6231559572445751,2.5245224116395946,1.9013664543950195,84.91345255129987,82.57442325233033,86.22143247998491
1629293400,150.55,152.57,149.02,149.1,4400.27,4400.27,4400.27,4400.27,9403945,7694368.2,9403945,7694368.2,9403945,7694368.2,9403945,7694368.2,9403945,7694368.2,9403945,7694368.2,148.81625992667608,147.6081057970853,146.0928516928397,143.04356540309846,0.44427748733049643,2.45671331355814,2.0124358262276436,73.04664879577268,79.20605693445675,79.21266577395528
1629379800,148.33,150.66,148,150.11,4405.8,4405.8,4405.8,4405.8,7543457,7854652.8,7543457,7854652.8,7543457,7854652.8,7543457,7854652.8,7543457,7854652.8,7543457,7854652.8,149.10375772074806,147.96551925464453,146.45804699349063,143.2959380672735,0.3549790149888743,2.4561595949637365,2.101180579974862,61.41547117099313,73.1251908393552,77.71801531863889
1629466200,150.48,151.72,149.75,151.45,4441.67,4441.67,4441.67,4441.67,6466796,7912200.8,6466796,7912200.8,6466796,7912200.8,6466796,7912200.8,6466796,7912200.8,6466796,7912200.8,149.62514489391515,148.46330221826673,146.9118609031733,143.58715456487087,0.3467594832314176,2.5346299340141343,2.1878704507827167,55.07519024947817,63.179103405414644,77.75349068228644
