time,open,high,low,close,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,EMA,EMA,EMA2,EMA3,Histogram,MACD,Signal,K,D,MF
1138113000,45.55,45.91,45.5,45.72,18189808,14555105.8,18189808,14555105.8,18189808,14555105.8,18189808,14555105.8,18189808,14555105.8,18189808,14555105.8,45.53033552477509,45.78317776899129,46.216611350789336,46.92171346797957,-0.008152630126049942,-0.7027180789948915,-0.6945654488688415,76.30324118301728,70.67736394519784,41.922502402459
1138199400,45.7,46.17,45.66,45.97,18986496,15146560.7,18986496,15146560.7,18986496,15146560.7,18986496,15146560.7,18986496,15146560.7,18986496,15146560.7,45.628038741491736,45.80986665913539,46.19419213708122,46.88772370126602,0.05063264929878952,-0.6312746372453546,-0.6819072865441441,91.54925942368531,80.73813325028424,43.1559186696752
1138285800,46.21001,46.50999,45.83,46.32001,16798608,15329716.1,16798608,15329716.1,16798608,15329716.1,16798608,15329716.1,16798608,15329716.1,16798608,15329716.1,45.78181013227135,45.8827442792589,46.20563012461929,46.86744821193509,0.11337751551903807,-0.5401853921453466,-0.6535629076643846,100,89.28416686890087,51.530414009020134
1138372200,45.99001,46.52,44.96001,45.84,13386000,15635886,13386000,15635886,13386000,15635886,13386000,15635886,13386000,15635886,13386000,15635886,45.79474121398883,45.87663795365049,46.17239102238117,46.83075363293741,0.12208663685074517,-0.5009546116009531,-0.6230412484516983,92.92482365870332,94.82469436079622,53.37458458154304
1138631400,46.39999,46.95,46.21001,46.41,15269102,16013311,15269102,16013311,15269102,16013311,15269102,16013311,15269102,16013311,15269102,16013311,45.931465388657976,45.952832531700416,46.19399183852833,46.81572671747536,0.16320157864552642,-0.4190392751447902,-0.5822408537903166,92.92482365870332,95.28321577246889,53.50853081031778
1138717800,46.44,46.53,46.03,46.11,12925602,16137751.05,12925602,16137751.05,12925602,16137751.05,12925602,16137751.05,12925602,16137751.05,12925602,16137751.05,45.97113974673398,45.975285027171786,46.18635621684394,46.79052219185124,0.16657921078200344,-0.37401684031281235,-0.5405960510948158,88.53118186109059,91.46027639283243,53.60141942666736
1138804200,46.05,46.38,45.57001,46.14,15189398,15726530.55,15189398,15726530.55,15189398,15726530.55,15189398,15726530.55,15189398,15726530.55,15189398,15726530.55,46.00866424745976,45.99881573757582,46.18214201531267,46.76728925642798,0.1668069286029148,-0.3320873903411723,-0.4988943189440871,91.70321459546945,91.05307337175446,46.71849356992431
1138890600,46.3,46.4772,45.47,46.28,18513104,15947695.7,18513104,15947695.7,18513104,15947695.7,18513104,15947695.7,18513104,15947695.7,18513104,15947695.7,46.06896108135759,46.03898491792213,46.19103819573879,46.74988606869841,0.17168816009843652,-0.28428411882104143,-0.45597227891947795,90.18409048663808,90.13949564773272,53.57827047671711
1138977000,45.99001,46.21001,45.44,45.49001,11329699,15476250.25,11329699,15476250.25,11329699,15476250.25,11329699,15476250.25,11329699,15476250.25,11329699,15476250.25,45.94030528550035,45.96055992964754,46.12730835976254,46.704890494816325,0.11948914037121994,-0.306610853455453,-0.42609999382667296,81.2965366369849,87.72794723969749,53.313113611048166
1139236200,45.44,45.50999,45.05,45.08,12185301,15028880.1,12185301,15028880.1,12185301,15028880.1,12185301,15028880.1,12185301,15028880.1,12185301,15028880.1,45.74912633316694,45.8347656539836,46.03209850887503,46.646858691430026,0.05822677985106406,-0.3533165190128429,-0.41154329886390695,63.387195523379404,78.28927421566748,54.481242088679
1139322600,45,45.47,44.67999,44.74001,16191301,15093920.15,16191301,15093920.15,16191301,15093920.15,16191301,15093920.15,16191301,15093920.15,16191301,15093920.15,45.52487825912984,45.6783719891288,45.91463591715912,46.578756952450384,-0.0011690307111258957,-0.4130045872528143,-0.4118355565416884,34.80232193510189,59.828684698488736,47.91695899554705
1139409000,44.78,45.50999,44.52,45.39999,12347602,15040175.25,12347602,15040175.25,12347602,15040175.25,12347602,15040175.25,12347602,15040175.25,12347602,15040175.25,45.49712531265654,45.63860313353897,45.867849924690105,46.536658132720014,0.0075371163610549186,-0.40241416109036976,-0.4099512774514247,34.13845235194866,44.10932327014333,46.49811615398458
1139495400,45.48,45.97,45.3315,45.7,13131801,14987800.25,13131801,14987800.25,13131801,14987800.25,13131801,14987800.25,13131801,14987800.25,13131801,14987800.25,45.542208576510646,45.647374114461975,45.85259084062737,46.50677748512287,0.035482237451314624,-0.3655984806372814,-0.401080718088596,47.852862638646336,38.93121230856564,54.058867508111746
1139581800,45.60001,45.95,45.31,45.75,8037699,14818435.2,8037699,14818435.2,8037699,14818435.2,8037699,14818435.2,8037699,14818435.2,8037699,14818435.2,45.58838444839717,45.66203495525312,45.84326440057034,46.47974971779705,0.05798511998304079,-0.32859931810979504,-0.3865844380928358,71.09488466529724,51.028733218630755,60.03546562066643
1139841000,45.47,45.82001,45.47,45.50999,7161398,14663485.2,7161398,14663485.2,7161398,14663485.2,7161398,14663485.2,7161398,14663485.2,7161398,14663485.2,45.570963459864466,45.64031424735982,45.81296672779122,46.44511544216144,0.05725735403201215,-0.31501274555282066,-0.3722700995848328,72.72494292806023,63.89089674400128,54.010310519284985
1139927400,45.42,46.64011,45.28,46.45,14872500,14551205.4,14872500,14551205.4,14872500,14551205.4,14872500,14551205.4,14872500,14551205.4,14872500,14551205.4,45.76630491322792,45.75598364059413,45.87087884344656,46.44528989065567,0.1171828369244804,-0.2257915534292323,-0.3429743903537127,80.82301736188585,74.88094831841445,53.01288284715165
